User ID,Gender,Age,EstimatedSalary,Purchased
15600080,Male,40,84000,1
15600081,Female,47,83000,1
15600082,Male,40,71000,1
15600083,Female,36,62000,1
15600084,Female,18,62000,0
15600085,Female,40,58000,0
15600086,Male,55,23000,1
15600087,Male,34,68000,0
15600088,Male,51,87000,1
15600089,Male,49,83000,1
15600090,Male,46,61000,1
15600091,Female,31,99000,1
15600092,Female,36,105000,1
15600093,Female,56,91000,1
15600094,Female,26,54000,0
15600095,Male,44,49000,1
15600096,Male,25,49000,0
15600097,Male,49,88000,1
15600098,Female,38,82000,1
15600099,Female,18,52000,0
15600100,Female,52,81000,1
15600101,Male,32,94000,1
15600102,Female,40,78000,1
15600103,Female,36,65000,1
15600104,Male,27,66000,1
15600105,Female,30,45000,0
15600106,Female,38,109000,1
15600107,Male,46,86000,1
15600108,Female,18,118000,0
15600109,Female,39,109000,1
15600110,Male,21,46000,0
15600111,Male,43,78000,1
15600112,Male,38,55000,1
15600113,Female,45,74000,1
15600114,Female,43,48000,1
15600115,Female,39,94000,1
15600116,Male,35,66000,1
15600117,Female,18,31000,0
15600118,Male,31,92000,1
15600119,Female,39,102000,1
15600120,Male,30,110000,1
15600121,Male,29,52000,0
15600122,Male,34,94000,1
15600123,Male,24,81000,0
15600124,Male,36,15000,0
15600125,Male,31,53000,0
15600126,Female,42,64000,1
15600127,Male,41,109000,1
15600128,Male,48,60000,1
15600129,Female,41,66000,1
15600130,Female,58,72000,1
15600131,Male,48,44000,1
15600132,Male,41,44000,0
15600133,Female,18,36000,0
15600134,Male,57,103000,1
15600135,Male,41,57000,1
15600136,Female,44,59000,1
15600137,Female,26,70000,1
15600138,Female,52,72000,1
15600139,Female,37,64000,1
15600140,Male,29,89000,1
15600141,Male,41,61000,1
15600142,Male,47,15000,0
15600143,Male,18,25000,0
15600144,Female,30,24000,0
15600145,Male,32,142000,1
15600146,Male,42,23000,0
15600147,Male,38,67000,1
15600148,Female,44,49000,1
15600149,Female,54,40000,1
15600150,Female,36,112000,1
15600151,Female,52,73000,1
15600152,Male,34,41000,0
15600153,Male,42,23000,1
15600154,Male,49,15000,0
15600155,Male,21,45000,0
15600156,Female,35,65000,1
15600157,Female,27,91000,1
15600158,Female,43,78000,1
15600159,Female,37,60000,0
15600160,Male,25,43000,0
15600161,Female,41,71000,1
15600162,Male,45,65000,1
15600163,Male,43,75000,1
15600164,Female,40,43000,1
15600165,Male,23,110000,1
15600166,Female,41,15000,0
15600167,Female,35,37000,0
15600168,Female,26,44000,0
15600169,Female,54,33000,1
15600170,Female,21,31000,0
15600171,Female,32,94000,1
15600172,Male,43,52000,1
15600173,Female,31,50000,0
15600174,Male,42,19000,0
15600175,Female,27,77000,0
15600176,Female,29,31000,0
15600177,Female,40,51000,1
15600178,Male,38,78000,1
15600179,Female,42,53000,1
15600180,Female,27,15000,0
15600181,Female,60,57000,1
15600182,Male,35,64000,0
15600183,Male,43,85000,1
15600184,Male,58,75000,1
15600185,Female,36,88000,1
15600186,Male,34,125000,1
15600187,Male,54,36000,1
15600188,Female,29,75000,1
15600189,Male,34,19000,0
15600190,Female,34,67000,0
15600191,Female,21,84000,0
15600192,Female,45,78000,1
15600193,Female,24,95000,1
15600194,Male,41,82000,1
15600195,Female,36,94000,1
15600196,Female,32,56000,0
15600197,Female,45,114000,1
15600198,Male,41,62000,1
15600199,Female,18,45000,0
15600200,Male,28,42000,0
15600201,Male,49,62000,1
15600202,Female,48,40000,1
15600203,Male,43,63000,1
15600204,Male,45,38000,1
15600205,Male,35,33000,0
15600206,Male,34,39000,0
15600207,Male,49,15000,0
15600208,Female,52,78000,1
15600209,Female,26,36000,0
15600210,Male,43,64000,1
15600211,Male,39,93000,1
15600212,Male,18,100000,1
15600213,Male,27,15000,0
15600214,Male,55,85000,1
15600215,Female,29,70000,0
15600216,Female,58,123000,1
15600217,Male,28,95000,1
15600218,Male,50,89000,1
15600219,Female,44,80000,1
15600220,Male,32,31000,0
15600221,Male,55,110000,1
15600222,Male,38,76000,1
15600223,Female,41,71000,1
15600224,Male,37,123000,1
15600225,Male,38,77000,1
15600226,Male,27,65000,0
15600227,Female,25,85000,0
15600228,Female,36,99000,1
15600229,Female,48,71000,1
15600230,Male,41,81000,1
15600231,Female,48,66000,1
15600232,Male,40,63000,1
15600233,Male,40,54000,1
15600234,Female,33,77000,1
15600235,Female,26,55000,0
15600236,Female,41,35000,0
15600237,Female,19,70000,0
15600238,Male,50,15000,1
15600239,Female,53,36000,1
15600240,Female,29,60000,1
15600241,Female,56,59000,1
15600242,Female,55,67000,1
15600243,Male,41,150000,1
15600244,Male,47,59000,1
15600245,Male,47,70000,1
15600246,Female,41,82000,1
15600247,Male,44,40000,0
15600248,Male,38,49000,1
15600249,Female,24,57000,0
15600250,Male,40,39000,1
15600251,Male,38,15000,0
15600252,Male,35,66000,1
15600253,Male,40,98000,1
15600254,Male,27,78000,1
15600255,Female,33,15000,0
15600256,Female,32,57000,0
15600257,Female,34,101000,1
15600258,Female,42,23000,0
15600259,Female,39,65000,1
15600260,Female,58,63000,1
15600261,Female,38,37000,0
15600262,Female,43,51000,1
15600263,Male,49,113000,1
15600264,Female,19,60000,0
15600265,Male,39,52000,1
15600266,Male,36,82000,1
15600267,Male,38,70000,1
15600268,Male,54,79000,1
15600269,Male,26,67000,0
15600270,Male,40,96000,1
15600271,Male,50,78000,1
15600272,Female,18,81000,0
15600273,Male,20,83000,0
15600274,Female,30,111000,1
15600275,Male,60,69000,1
15600276,Female,39,39000,0
15600277,Male,37,29000,0
15600278,Female,47,71000,1
15600279,Male,36,76000,1
15600280,Female,27,103000,1
15600281,Male,23,83000,0
15600282,Female,40,92000,1
15600283,Male,44,27000,1
15600284,Female,44,60000,1
15600285,Female,46,114000,1
15600286,Female,36,80000,1
15600287,Female,39,73000,1
15600288,Male,30,57000,0
15600289,Female,38,80000,1
15600290,Male,45,81000,1
15600291,Female,52,54000,1
15600292,Female,27,71000,0
15600293,Male,34,88000,1
15600294,Female,42,88000,1
15600295,Female,34,15000,0
15600296,Male,48,105000,1
15600297,Female,32,84000,1
15600298,Female,47,53000,1
15600299,Female,44,41000,1
15600300,Female,39,47000,0
15600301,Male,32,86000,1
15600302,Female,25,63000,0
15600303,Female,60,28000,1
15600304,Female,42,73000,1
15600305,Female,36,113000,1
15600306,Male,31,68000,0
15600307,Female,42,113000,1
15600308,Female,26,63000,0
15600309,Female,28,76000,1
15600310,Male,32,113000,1
15600311,Female,36,82000,1
15600312,Male,33,28000,0
15600313,Female,44,61000,1
15600314,Male,45,75000,1
15600315,Female,50,117000,1
15600316,Male,50,103000,1
15600317,Female,43,85000,1
15600318,Male,24,46000,0
15600319,Female,46,114000,1
15600320,Male,35,73000,1
15600321,Male,49,59000,1
15600322,Male,42,70000,1
15600323,Male,35,64000,1
15600324,Female,37,62000,0
15600325,Female,29,62000,0
15600326,Male,36,108000,1
15600327,Male,38,67000,1
15600328,Female,18,15000,0
15600329,Male,38,90000,1
15600330,Male,48,100000,1
15600331,Male,47,78000,1
15600332,Male,39,70000,1
15600333,Male,18,27000,0
15600334,Male,35,24000,0
15600335,Female,29,143000,1
15600336,Male,34,35000,0
15600337,Male,36,40000,0
15600338,Male,30,74000,1
15600339,Female,42,30000,1
15600340,Female,44,69000,1
15600341,Female,34,80000,1
15600342,Female,53,100000,1
15600343,Female,45,128000,1
15600344,Male,28,114000,1
15600345,Male,24,55000,0
15600346,Male,31,49000,0
15600347,Male,29,138000,1
15600348,Female,33,64000,0
15600349,Female,18,28000,0
15600350,Male,26,109000,1
15600351,Female,50,82000,1
15600352,Male,43,91000,1
15600353,Male,43,86000,1
15600354,Female,26,72000,0
15600355,Female,30,70000,1
15600356,Male,53,108000,1
15600357,Male,54,54000,1
15600358,Female,33,15000,0
15600359,Female,22,99000,1
15600360,Male,41,48000,1
15600361,Male,45,68000,1
15600362,Male,47,72000,1
15600363,Male,33,68000,1
15600364,Female,44,89000,1
15600365,Female,53,113000,1
15600366,Male,31,70000,0
15600367,Female,54,80000,1
15600368,Male,18,15000,0
15600369,Female,38,77000,1
15600370,Female,58,94000,1
15600371,Female,33,58000,0
15600372,Male,46,22000,0
15600373,Female,26,41000,0
15600374,Female,18,88000,0
15600375,Male,35,15000,0
15600376,Female,18,59000,0
15600377,Male,46,49000,1
15600378,Female,56,63000,1
15600379,Male,23,105000,0
15600380,Female,37,23000,0
15600381,Female,47,78000,1
15600382,Male,45,15000,0
15600383,Male,46,78000,1
15600384,Male,42,89000,1
15600385,Female,35,46000,0
15600386,Male,32,39000,1
15600387,Male,41,48000,1
15600388,Female,35,86000,1
15600389,Female,41,127000,1
15600390,Female,32,57000,0
15600391,Female,34,97000,1
15600392,Male,34,81000,1
15600393,Male,51,107000,1
15600394,Female,46,82000,1
15600395,Female,37,80000,1
15600396,Male,40,114000,1
15600397,Female,18,60000,0
15600398,Male,38,107000,1
15600399,Male,41,42000,0
